                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                0.85771,                 1.0487,                 1.1283,                0.93823,                0.37623,                0.57846,                0.42749,                 1.7849,                 2.2884,                 1.5659,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     32,                0.66498,                 1.2616,                 1.1587,                0.93836,                0.37613,                0.57881,                0.42815,                 1.7589,                 2.3013,                 1.5372,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     33,                0.71718,                 1.6221,                 1.3046,                0.93836,                0.37613,                0.57881,                0.42815,                 1.7589,                 2.3013,                 1.5372,              2.644e-05,              2.644e-05,              2.644e-05
                     34,                0.75713,                 1.7012,                 1.1468,                0.93895,                0.37624,                0.57898,                0.46107,                 1.7764,                  2.344,                 1.5658,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     35,                0.60167,                 1.1538,                 1.0853,                0.93895,                0.37624,                0.57898,                0.46107,                 1.7764,                  2.344,                 1.5658,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     36,                0.72291,                  1.331,                  1.096,                0.94065,                0.37552,                0.57857,                0.46106,                 1.7679,                 2.3725,                 1.5676,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     37,                 0.8988,                 1.7556,                 1.3343,                0.94065,                0.37552,                0.57857,                0.46106,                 1.7679,                 2.3725,                 1.5676,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     38,                 1.5391,                 1.8588,                 1.8239,                0.93374,                0.37421,                0.49648,                0.38694,                 1.7566,                 2.3771,                 1.5713,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     39,                0.98245,                 1.4026,                 1.3468,                0.93374,                0.37421,                0.49648,                0.38694,                 1.7566,                 2.3771,                 1.5713,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     40,                 0.7966,                 1.3222,                 1.1516,                 0.9392,                0.37446,                0.49708,                0.39648,                 1.7587,                 2.3935,                 1.5739,              2.875e-05,              2.875e-05,              2.875e-05
                     41,                0.85841,                  1.778,                 1.2998,                 0.9392,                0.37446,                0.49708,                0.39648,                 1.7587,                 2.3935,                 1.5739,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     42,                0.82914,                 1.6144,                 1.2575,                0.93763,                0.37356,                0.49678,                0.39641,                  1.751,                 2.4152,                 1.5782,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     43,                0.81595,                 1.1692,                 1.3067,                0.93763,                0.37356,                0.49678,                0.39641,                  1.751,                 2.4152,                 1.5782,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     44,                0.74022,                 1.7416,                 1.3133,                0.93005,                0.37268,                0.47361,                0.36898,                 1.7543,                 2.4593,                  1.587,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     45,                 0.9399,                  1.171,                 1.4015,                0.93005,                0.37268,                0.47361,                0.36898,                 1.7543,                 2.4593,                  1.587,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     46,                0.89514,                 1.4378,                 1.2397,                0.90302,                0.38511,                0.46148,                0.35389,                 1.7896,                 2.4867,                 1.6154,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     47,                0.96533,                 1.4715,                 1.4483,                0.90302,                0.38511,                0.46148,                0.35389,                 1.7896,                 2.4867,                 1.6154,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     48,                0.74678,                0.82974,                 1.2494,                0.90465,                0.38281,                 0.4621,                0.35398,                 1.7672,                 2.4702,                 1.5878,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     49,                 1.0499,                 1.2589,                 1.4135,                0.90465,                0.38281,                 0.4621,                0.35398,                 1.7672,                 2.4702,                 1.5878,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     50,                0.96299,                 1.2826,                 1.2616,                0.91004,                0.37974,                0.42245,                0.31347,                 1.7051,                 2.3138,                  1.491,             3.0048e-05,             3.0048e-05,             3.0048e-05
